Item	Word	Semantic_Output	Error_Score	Correct
1	a	a	0	1
6	act	act	0.36	1
7	acts	acts	0	1
8	ad	ad	0	1
9	add	add	0	1
10	adds	adds	0.0018	1
11	ads	ads	0	1
14	age	age	0	1
15	aid	aid	0	1
16	aide	aide	0.0026	1
17	aides	aides	0.0002	1
18	aids	aids	0.0001	1
22	aim	aim	0	1
23	aimed	aimed	0	1
24	aims	aims	0	1
25	air	air	0	1
27	aisle	aisle	0.0001	1
28	aisles	aisles	0.002	1
31	all	all	0.0001	1
34	alps	alps	0.0001	1
35	am	am	0	1
37	an	an	0	1
38	and	and	0	1
41	ants	ants	0.0004	1
42	ape	ape	0.0003	1
43	apes	apes	0.0001	1
45	apt	apt	0	1
46	arc	arc	0	1
47	arch	arch	0.0001	1
49	are	are	0	1
53	arm	arm	0	1
54	arms	arms	0	1
56	art	art	0	1
57	arts	arts	0.0001	1
58	as	as	0	1
59	ash	ash	0.0002	1
60	ask	ask	0	1
61	asked	asked	0	1
62	asks	asks	0	1
66	at	at	0.0001	1
67	ate	ate	0.0001	1
69	aunt	aunt	0.0011	1
71	awe	awe	0.0002	1
77	ax	ax	0.0038	1
82	back	back	0	1
83	bad	bad	0	1
85	bag	bag	0.0001	1
86	bags	bags	0	1
89	bait	bait	0.0004	1
93	baked	baked	0.0122	1
95	bald	bald	0.0051	1
101	ball	ball	0	1
102	balls	balls	0.0001	1
105	ban	ban	0.0001	1
106	band	band	0.0001	1
107	bands	bands	0	1
110	bang	bang	0.000400000000000001	1
113	bank	bank	0	1
114	banks	banks	0	1
116	bar	bar	0	1
121	bare	bare	0.0011	1
123	bark	bark	0.0001	1
127	barn	barn	0.002	1
128	barns	barns	0.0035	1
129	bars	bars	0	1
130	base	base	0	1
131	based	based	0.0001	1
136	bass	bass	0	1
137	bass	bass	0.0007	1
141	bat	bat	0.0009	1
142	batch	batch	0.0003	1
144	bath	bath	0	1
145	bathe	bathe	0.0002	1
148	baths	baths	0.001	1
149	bats	bats	0	1
153	bay	bay	0.0002	1
154	bays	bays	0.0009	1
155	be	be	0	1
156	beach	beach	0.0002	1
158	beads	beads	0	1
159	beak	beak	0.0025	1
161	beam	beam	0	1
162	beams	beams	0	1
163	bean	bean	0.0003	1
164	beans	beans	0.0001	1
165	bear	bear	0.0001	1
166	beard	beard	0.0012	1
168	bears	bears	0	1
169	beast	beast	0.0009	1
170	beasts	beasts	0.0178	1
171	beat	beat	0	1
172	beat	beat	0	1
173	beats	beats	0.0016	1
178	bed	bed	0.0001	1
179	beds	beds	0	1
180	bee	bee	0.0001	1
182	beef	beef	0.0011	1
186	beer	beer	0.0001	1
188	bees	bees	0.0002	1
196	bell	bell	0	1
199	bells	bells	0.000900000000000002	1
200	belt	belt	0	1
201	belts	belts	0.0001	1
202	ben	ben	0.0001	1
203	bench	bench	0.0001	1
204	bend	bend	0.053	1
205	bends	bends	0	1
206	bent	bent	0	1
211	best	best	0	1
212	bet	bet	0.7074	1
213	bet	bet	0.0061	1
218	bid	bid	0.0002	1
224	big	big	0	1
227	bike	bike	0.0115	1
229	bile	bile	0.0051	1
235	bill	bill	0	1
236	bills	bills	0	1
238	bind	bind	0	1
239	binds	binds	0	1
242	bins	bins	0.0847	1
243	birch	birch	0.0001	1
244	bird	bird	0.0006	1
245	birds	birds	0.0002	1
246	birth	birth	0	1
247	births	births	0	1
249	bit	bit	0.0001	1
251	bite	bite	0.128	1
252	bits	bits	0.0002	1
257	black	black	0	1
258	blade	blade	0	1
259	blades	blades	0.0001	1
261	blame	blame	0	1
262	blamed	blamed	0	1
266	bland	bland	0.0293	1
267	blank	blank	0.0006	1
271	blast	blast	0.0002	1
275	bleach	bleach	0.349	1
277	bleak	bleak	0.0123	1
286	blend	blend	0	1
287	blends	blends	0.0004	1
289	blessed	blessed	0.0006	1
290	blew	blew	0.0034	1
291	blight	blight	0.0021	1
295	blind	blind	0.001	1
309	block	block	0	1
310	blocks	blocks	0	1
316	blood	blood	0	1
318	bloom	bloom	0.0124	1
325	blow	blow	0	1
326	blows	blows	0	1
327	blue	blue	0	1
328	blues	blues	0.00489999999999999	1
331	blunt	blunt	0.029	1
334	blurred	blurred	0	1
340	boar	boar	0.0006	1
341	board	board	0	1
342	boards	boards	0	1
346	boat	boat	0	1
347	boats	boats	0.0002	1
348	bob	bob	0.001	1
355	bog	bog	1.231	1
356	boil	boil	0.0064	1
357	boiled	boiled	0	1
359	bold	bold	0.0001	1
364	bolt	bolt	0.0022	1
365	bolts	bolts	0.0015	1
366	bomb	bomb	0.0001	1
367	bombs	bombs	0.0001	1
368	bond	bond	0.0001	1
369	bonds	bonds	0.0004	1
370	bone	bone	0.0001	1
371	bones	bones	0	1
373	book	book	0.0009	1
374	books	books	0	1
375	boom	boom	0	1
382	boost	boost	0.001	1
384	boot	boot	0.0049	1
385	booth	booth	0.0002	1
387	boots	boots	0	1
392	boss	boss	0.0006	1
394	both	both	0.0004	1
397	bought	bought	0.0001	1
398	bounce	bounce	0.0733	1
400	bound	bound	0	1
403	bout	bout	1.3956	1
405	bow	bow	0.0001	1
406	bowl	bowl	0.0005	1
407	bowls	bowls	0.0004	1
408	bows	bows	0.042	1
409	box	box	0.0001	1
410	boy	boy	0	1
411	boys	boys	0.0005	1
424	brain	brain	0	1
425	brains	brains	0	1
427	brake	brake	0	1
428	brakes	brakes	0.0017	1
430	branch	branch	0.0001	1
431	brand	brand	0.0001	1
432	brands	brands	0	1
435	brass	brass	0	1
438	brave	brave	0	1
447	breach	breach	0.0681	1
448	bread	bread	0	1
449	breads	breads	0.0001	1
450	breadth	breadth	0	1
452	break	break	0	1
453	breast	breast	0.0001	1
454	breasts	breasts	0.0001	1
455	breath	breath	0.0032	1
456	breathe	breathe	0.0001	1
458	breech	breech	0.0228	1
459	breed	breed	0.0036	1
460	breeds	breeds	0	1
461	breeze	breeze	0.0022	1
468	brick	brick	0.0074	1
469	bricks	bricks	0.0015	1
470	bride	bride	0.0006	1
472	bridge	bridge	0	1
473	brief	brief	0	1
476	bright	bright	0	1
482	bring	bring	0	1
483	brings	brings	0	1
484	brink	brink	0.0006	1
486	brisk	brisk	0.0004	1
489	broad	broad	0	1
494	broke	broke	0	1
496	bronze	bronze	0.005	1
498	brood	brood	0.0012	1
500	brook	brook	0	1
501	brooks	brooks	0.0002	1
504	broth	broth	0.0485	1
506	brought	brought	0.0001	1
507	brow	brow	0.0067	1
508	brown	brown	0	1
514	brush	brush	0	1
516	brute	brute	0.0025	1
520	bud	bud	0	1
523	buds	buds	0.0001	1
525	bug	bug	0.0006	1
526	bugs	bugs	0.0009	1
527	build	build	0.0004	1
528	builds	builds	0	1
529	built	built	0	1
530	bulb	bulb	0.0001	1
531	bulbs	bulbs	0.0003	1
532	bulge	bulge	0.0001	1
534	bulk	bulk	0.0001	1
536	bull	bull	0.0003	1
537	bulls	bulls	0.000700000000000001	1
541	bumps	bumps	0.00509999999999999	1
544	bunch	bunch	0.0155	1
554	burn	burn	0	1
555	burned	burned	0	1
556	burns	burns	0	1
559	burr	burr	0.0032	1
562	burst	burst	0.0004	1
563	bus	bus	0.0006	1
564	bush	bush	0.0021	1
566	bust	bust	0.0023	1
568	but	but	0	1
572	buy	buy	0	1
573	buys	buys	0.0025	1
576	by	by	0	1
585	cage	cage	0.0005	1
586	cake	cake	0.0004	1
587	cakes	cakes	0.0001	1
588	calf	calf	0.0002	1
589	call	call	0.0001	1
590	called	called	0	1
591	calls	calls	0	1
592	calm	calm	0	1
594	calves	calves	0.0004	1
596	came	came	0	1
597	camp	camp	0	1
598	camps	camps	0	1
600	cane	cane	0.001	1
604	cap	cap	0	1
605	cape	cape	0.0002	1
607	caps	caps	0.0006	1
608	car	car	16.0004	1
609	card	card	0	1
610	cards	cards	0	1
611	care	care	0	1
612	cared	cared	0	1
613	cares	cares	0.0001	1
615	cars	cars	16.9407	1
616	cart	cart	0.0304	1
617	carts	carts	0.0048	1
618	carve	carve	0.0004	1
619	carved	carved	0.0001	1
621	case	case	0	1
622	cash	cash	0	1
626	cast	cast	0	1
627	cast	cast	0.0001	1
628	caste	caste	0.0258	1
630	casts	casts	0.001	1
631	cat	cat	0.0018	1
632	catch	catch	0.0001	1
633	cats	cats	0.0003	1
634	caught	caught	0	1
637	cause	cause	0	1
638	caused	caused	0	1
639	cave	cave	0.0001	1
640	caves	caves	0.0002	1
644	cease	cease	0.0002	1
645	ceased	ceased	0	1
647	cell	cell	0	1
648	cells	cells	0	1
652	cent	cent	0.0006	1
653	cents	cents	0.029	1
659	chain	chain	0	1
660	chains	chains	0	1
661	chair	chair	0.0005	1
662	chairs	chairs	0	1
664	chalk	chalk	0.000400000000000001	1
668	chance	chance	0	1
669	change	change	0	1
677	charge	charge	0	1
678	charm	charm	0.0017	1
679	charms	charms	0.0016	1
680	charred	charred	0.001	1
682	chart	chart	0	1
683	charts	charts	0.001	1
684	chase	chase	0	1
690	cheap	cheap	0.0001	1
691	cheat	cheat	0.0363	1
693	check	check	0	1
694	checked	checked	0	1
695	checks	checks	0	1
696	cheek	cheek	0	1
697	cheeks	cheeks	0	1
702	cheese	cheese	0.0001	1
708	chest	chest	0	1
709	chests	chests	0	1
710	chew	chew	0.106	1
713	chi	chi	0.8043	1
715	chick	chick	0.0066	1
718	child	child	0	1
720	chills	chills	0.0005	1
723	chimp	chimp	0.004	1
724	chimps	chimps	0.114	1
725	chin	chin	0.1457	1
732	chip	chip	0.0026	1
733	chips	chips	0.0025	1
744	choice	choice	0	1
747	choke	choke	0.0023	1
752	choose	choose	0	1
758	chore	chore	0	1
759	chores	chores	0	1
760	chose	chose	0	1
763	christ	christ	0.0001	1
779	chunks	chunks	0.0001	1
780	church	church	0.0001	1
790	cite	cite	0.2978	1
792	clad	clad	0.0409	1
793	claim	claim	0.0001	1
794	claims	claims	0	1
795	clam	clam	0.0004	1
800	clan	clan	0.0007	1
806	clans	clans	0.0045	1
811	clash	clash	0.0001	1
815	class	class	0	1
816	clause	clause	0.0006	1
818	claws	claws	0.0011	1
819	clay	clay	0	1
821	clean	clean	0.0001	1
822	cleaned	cleaned	0.0006	1
825	cleansed	cleansed	0.1207	1
826	clear	clear	0.000400000000000001	1
