Item	Word	Semantic_Output	Error_Score	Correct
1	a	a	0.0009	1
2	ace	clone	5.1484	0
3	ache	ache	0.0017	1
4	ached	ached	0	1
5	aches	aches	0	1
6	act	alms	0.4241	0
7	acts	acts	0.3476	1
8	ad	ad	0.0008	1
9	add	add	1.6095	1
10	adds	adds	0.0866	1
11	ads	ads	0.0325	1
12	adze	adze	1.4969	1
13	aft	aft	0.0082	1
14	age	age	0.0001	1
15	aid	aid	0.0001	1
16	aide	aide	0.0685	1
17	aides	aides	0.00730000000000001	1
18	aids	aids	0.0013	1
19	ail	ail	2.3118	1
20	ailed	ailed	0.8371	1
21	ails	ails	0.0714	1
22	aim	aim	0.0378	1
23	aimed	aimed	0.0001	1
24	aims	aims	0.043	1
25	air	air	0.0001	1
26	airs	airs	0.0003	1
27	aisle	aisle	0.0016	1
28	aisles	aisles	0.0007	1
29	ale	ale	0.0039	1
30	ales	ales	0.0036	1
31	all	all	0.0089	1
32	alms	alms	2.4319	1
33	alp	alp	0.0417	1
34	alps	alps	0.0176	1
35	am	am	0.0001	1
36	amp	amp	2.9831	1
37	an	an	0.0485	1
38	and	and	0.0001	1
39	angst	pride	4.7713	0
40	ant	ant	0.0001	1
41	ants	ants	0.0002	1
42	ape	ape	0	1
43	apes	apes	0.00370000000000001	1
44	apse	apse	0.0445	1
45	apt	apt	0.0011	1
46	arc	arc	0.0038	1
47	arch	arch	0.0011	1
48	arcs	arcs	0.1611	1
49	are	are	0.0002	1
50	ares	ares	0.8212	1
51	ark	quake	4.9742	0
52	arks	flukes	7.3265	0
53	arm	arm	0	1
54	arms	arms	0	1
55	arse	soul	11.118	0
56	art	art	0.0002	1
57	arts	arts	0.0022	1
58	as	as	0.0017	1
59	ash	ash	0.063	1
60	ask	ask	0	1
61	asked	asked	0	1
62	asks	asks	0.0016	1
63	asp	snake	0.5606	0
64	asps	asps	0.1175	1
65	ass	ass	0.0143	1
66	at	at	0	1
67	ate	ate	0.0004	1
68	aught	aught	0.2068	1
69	aunt	aunt	0.0001	1
70	aunts	aunts	0.0018	1
71	awe	awe	0.0015	1
72	awes	awes	0.0085	1
73	awl	awl	0.0004	1
74	awls	awls	0.0504	1
75	awn	awn	2.2446	1
76	awns	awns	2.151	1
77	ax	ax	0.449	1
78	axe	axe	0.1026	1
79	aye	aye	0.0001	1
80	babe	babe	0.0108	1
81	babes	babe	0.6497	0
82	back	back	0	1
83	bad	bad	0.0002	1
84	badge	badge	0.0006	1
85	bag	bag	0	1
86	bags	bags	0	1
87	bail	bail	0.5935	1
88	bails	bails	2.1585	1
89	bait	bait	0.0013	1
90	baits	baits	0.19	1
91	baize	bay	5.8745	0
92	bake	bake	0.0002	1
93	baked	baked	0.0082	1
94	bakes	bakes	0.0261	1
95	bald	bald	0.0354	1
96	bale	bale	0.0004	1
97	bales	bales	0.0015	1
98	balk	balk	1.7699	1
99	balked	balked	1.569	1
100	balks	speaks	3.1144	0
101	ball	ball	0.0173	1
102	balls	balls	0.0027	1
103	balm	balm	0.0198	1
104	balms	balms	0.0003	1
105	ban	ban	0.0024	1
106	band	band	0	1
107	bands	bands	0.0001	1
108	bane	bane	0.8222	1
109	banes	banes	0.4947	1
110	bang	bang	0.0042	1
111	banged	banged	0.0018	1
112	bangs	bangs	0.0017	1
113	bank	bank	0.0005	1
114	banks	banks	0.002	1
115	bans	bans	0.009	1
116	bar	bar	0.0001	1
117	barb	barb	0.0001	1
118	barbs	barbs	0.0018	1
119	bard	bard	0.0097	1
120	bards	bards	0.6582	1
121	bare	bare	0.7455	1
122	barge	barge	0.0001	1
123	bark	bark	0.0001	1
124	barked	barked	0.0002	1
125	barks	barks	0.0001	1
126	barm	barm	2.0067	1
127	barn	barn	0.0037	1
128	barns	barns	0.0055	1
129	bars	bars	0.0003	1
130	base	base	0.0006	1
131	based	based	0	1
132	bash	bash	0.5145	1
133	bask	bask	0.2706	1
134	basked	basked	0.1626	1
135	basks	basks	0.1045	1
136	bass	bass	0.0144	1
137	bass	bass	0.0581	1
138	bast	space	6.1161	0
139	baste	baste	0.1117	1
140	bastes	food	5.8222	0
141	bat	bat	0.0301	1
142	batch	batch	0.00560000000000001	1
143	bate	quell	4.1481	0
144	bath	bath	0.0003	1
145	bathe	bathe	0.9053	1
146	bathed	bathed	0.0044	1
147	bathes	bathes	0.6175	1
148	baths	baths	0.0001	1
149	bats	bats	0.0003	1
150	bawl	bawl	0	1
151	bawled	bawled	0.0001	1
152	bawls	bawl	1	0
153	bay	bay	0.0004	1
154	bays	bays	0.0256	1
155	be	be	0.4292	1
156	beach	beach	0.0148	1
157	bead	bead	0	1
158	beads	beads	0	1
159	beak	beak	0.0065	1
160	beaks	beaks	0.0003	1
161	beam	beam	0.0575	1
162	beams	beams	0.1667	1
163	bean	bean	0.0022	1
164	beans	beans	0.0099	1
165	bear	bear	0.0001	1
166	beard	beard	0	1
167	beards	beards	0.0314	1
168	bears	bears	0.1446	1
169	beast	beast	1.5787	1
170	beasts	beasts	2.2032	1
171	beat	beat	0.0001	1
172	beat	beat	0.36	1
173	beats	beats	0	1
174	beau	beau	0.8083	1
175	beaus	beaus	0.0492	1
176	beck	beck	1.6902	1
177	becks	becks	4.643	1
178	bed	bed	0.0056	1
179	beds	beds	0.059	1
180	bee	bee	0.0076	1
181	beech	beech	0.0338	1
182	beef	beef	0	1
183	beefs	beefs	0.0044	1
184	beep	beep	2.1017	1
185	beeps	beeps	0.1526	1
186	beer	beer	0.0051	1
187	beers	beers	1.0509	1
188	bees	bees	0.0002	1
189	beet	beet	0.9882	1
190	beets	beets	0.000700000000000001	1
191	beg	beg	0.0853	1
192	begged	begged	0.0289	1
193	begs	begs	1.8191	1
194	beige	beige	0.0001	1
195	belch	law	5.3354	0
196	bell	bell	0.001	1
197	belle	belle	1.7633	1
198	belles	girls	0.4128	0
199	bells	bells	0.0028	1
200	belt	belt	0	1
201	belts	belts	0	1
202	ben	alp	1.7571	0
203	bench	bench	0.0064	1
204	bend	bend	0.0027	1
205	bends	bends	0.0002	1
206	bent	bent	0.0006	1
207	berg	berg	0.175	1
208	bergs	bergs	0.7533	1
209	berth	berth	0.0011	1
210	berths	berths	0.00869999999999999	1
211	best	best	0.0064	1
212	bet	bet	0.0016	1
213	bet	bet	0.0009	1
214	bets	bets	0.1374	1
215	bey	swain	1.7212	0
216	bib	bib	0.0145	1
217	bibs	bibs	0.00539999999999999	1
218	bid	bid	0.3302	1
219	bide	stay	0.7245	0
220	bids	bids	0.435	1
221	bier	bier	0.9327	1
222	biers	biers	0.0591	1
223	biff	biff	2.0536	1
224	big	big	0.0009	1
225	bight	bight	0.1141	1
226	bights	bights	0.0016	1
227	bike	bike	0.0002	1
228	bikes	bikes	0.0002	1
229	bile	bile	0.0511	1
230	biles	biles	0.0125	1
231	bilge	ink	1.1911	0
232	bilk	bilk	0.2399	1
233	bilked	bilked	0.2723	1
234	bilks	cheats	0.8391	0
235	bill	bill	0.0053	1
236	bills	bills	0.0003	1
237	bin	bin	0.0817	1
238	bind	bind	0.3201	1
239	binds	binds	0.3073	1
240	bine	food	10.6401	0
241	binge	food	9.3895	0
242	bins	bins	0.5033	1
243	birch	birch	0.0002	1
244	bird	bird	0	1
245	birds	birds	0.0037	1
246	birth	birth	0.0082	1
247	births	births	0.0053	1
248	bisque	bisque	0.0098	1
249	bit	bit	0.0005	1
250	bitch	bitch	1.8626	1
251	bite	bite	0.0005	1
252	bits	bits	0.0003	1
253	biz	biz	2.0079	1
254	blab	blab	1.0052	1
255	blabbed	blabbed	0.4489	1
256	blabs	blabs	1.6371	1
257	black	black	0.002	1
258	blade	blade	0.0001	1
259	blades	blades	0.00520000000000001	1
260	blah	blah	0.1119	1
261	blame	blame	0.0021	1
262	blamed	blamed	0.0007	1
263	blames	blames	0.1108	1
264	blanch	blanch	0.0424	1
265	blanched	blanched	0.0105	1
266	bland	bland	0.2543	1
267	blank	blank	0.0092	1
268	blare	blare	0.0083	1
269	blared	roared	1.5245	0
270	blares	blares	0.2669	1
271	blast	blast	0.0445	1
272	blasts	blasts	0.1732	1
273	blaze	blaze	0.002	1
274	blazed	blazed	0.0029	1
275	bleach	bleach	0.0021	1
276	bleached	bleached	0.0017	1
277	bleak	bleak	0.0005	1
278	bleat	bleat	0.2429	1
279	bleats	bleats	1.8055	1
280	bled	bleed	0.6527	0
281	bleed	bleed	0.1076	1
282	bleeds	bleed	1.2035	0
283	bleep	bleep	2.1097	1
284	bleeps	bleeps	0.1579	1
285	blench	blanch	1.4021	0
286	blend	blend	1.053	1
287	blends	blends	0.0032	1
288	bless	bless	1.2124	1
289	blessed	blessed	0.0004	1
290	blew	blew	0	1
291	blight	blight	0.014	1
292	blights	blights	0.009	1
293	blimp	blimp	0.0003	1
294	blimps	blimps	0.1096	1
295	blind	blind	0.00499999999999999	1
296	blink	blink	0.0287	1
297	blinked	blinked	0.0027	1
298	blinks	blinks	0.013	1
299	blip	con	1.8118	0
300	blips	cons	1.9028	0
301	bliss	bliss	1.6169	1
302	blithe	blithe	0.0718	1
303	blitz	alms	5.1532	0
304	bloat	bloat	0.0025	1
305	bloats	bloat	2.5073	0
306	blob	blob	1.4444	1
307	blobs	blobs	0.7985	1
308	bloc	clan	3.3302	0
309	block	block	0.0001	1
310	blocks	blocks	0.0001	1
311	blocs	blocks	5.7632	0
312	bloke	bloke	0.00360000000000001	1
313	blokes	blokes	0.0016	1
314	blond	blond	0.0002	1
315	blonde	blond	1.0026	0
316	blood	blood	0	1
317	bloods	blood	0.9234	0
318	bloom	bloom	0.0003	1
319	bloomed	bloomed	0.0047	1
320	blooms	blooms	0.0128	1
321	blot	blot	0.0021	1
322	blotch	blotch	0.7568	1
323	blots	blots	0.0123	1
324	blouse	blouse	0.0016	1
325	blow	blow	0	1
326	blows	blows	0.0001	1
327	blue	blue	0	1
328	blues	blues	0.6823	1
329	bluff	bluff	0.0276	1
330	bluffs	bluffs	0.0044	1
331	blunt	blunt	0.0017	1
332	blur	blur	0.7925	1
333	blurb	blurb	0.0005	1
334	blurred	blurred	0.4099	1
335	blurs	blurs	0.8615	1
336	blurt	speak	1.2117	0
337	blurts	flirt	2.2682	0
338	blush	blush	0.0297	1
339	blushed	blushed	0.0003	1
340	boar	boar	0.0064	1
341	board	board	0	1
342	boards	boards	0	1
343	boars	boars	0.1814	1
344	boast	boast	0	1
345	boasts	boasts	0.0001	1
346	boat	boat	0	1
347	boats	boats	0.0001	1
348	bob	bob	0.0015	1
349	bobbed	bobbed	0.0002	1
350	bobs	bobs	0.0389	1
351	bock	bock	0.2102	1
352	bocks	bocks	1.9203	1
353	bod	quark	2.7759	0
354	bode	bode	0.2049	1
355	bog	bog	3.4315	1
356	boil	boil	0.0001	1
357	boiled	boiled	0.0001	1
358	boils	boils	0.0009	1
359	bold	bold	0.0001	1
360	bole	brick	4.573	0
361	boles	masks	4.6649	0
362	boll	boll	0.001	1
363	bolls	bolls	0.0008	1
364	bolt	bolt	0.0028	1
365	bolts	bolts	0.0031	1
366	bomb	bomb	0.0015	1
367	bombs	bombs	0.0009	1
368	bond	bond	0.0074	1
369	bonds	bonds	0.0002	1
370	bone	bone	0	1
371	bones	bones	0	1
372	boo	boo	1.1024	1
373	book	book	0.0001	1
374	books	books	0	1
375	boom	boom	0.0035	1
376	booms	booms	0.0002	1
377	boon	boon	0.0153	1
378	boons	boons	0.0312	1
379	boor	boor	1.0038	1
380	boors	boors	0.9804	1
381	boos	croaks	1.8875	0
382	boost	boost	0.0025	1
383	boosts	boosts	0.1182	1
384	boot	boot	0.0147	1
385	booth	booth	0.0011	1
386	booths	booths	0.0001	1
387	boots	boots	0.0002	1
388	booze	boss	7.6982	0
389	bop	bop	0.5555	1
390	bops	bop	1.5666	0
391	bosh	rich	11.547	0
392	boss	boss	0.0248	1
393	botch	botch	0.2141	1
394	both	both	0.0005	1
395	bough	bough	0.0001	1
396	boughs	boughs	0	1
397	bought	bought	0.0001	1
398	bounce	bounce	0.0004	1
399	bounced	bounced	0.0001	1
400	bound	bound	0.0085	1
401	bourn	wreathe	7.0276	0
402	bourse	lab	1.0046	0
403	bout	bout	2.7864	1
404	bouts	bouts	1.898	1
405	bow	bow	0.0038	1
406	bowl	bowl	0.003	1
407	bowls	bowls	0.0003	1
408	bows	bows	0.0052	1
409	box	box	0.003	1
410	boy	boy	0.001	1
411	boys	boys	0.01	1
412	bra	brick	8.4503	0
413	brace	brace	0.0003	1
414	bract	mask	4.1069	0
415	brad	brad	1.189	1
416	brads	brads	0.0535	1
417	brag	brag	0.0058	1
418	bragged	bragged	0.0015	1
419	brags	brag	0.7326	0
420	braid	braid	0.8102	1
421	braids	braid	0.2702	0
422	braille	braille	0.7227	1
423	brailles	braille	1.7984	0
424	brain	brain	0.0003	1
425	brains	brains	0.002	1
426	braise	calm	7.4202	0
427	brake	brake	0.0002	1
428	brakes	brakes	0.0027	1
429	bran	bran	0.0042	1
430	branch	branch	0.0419	1
431	brand	brand	0.0025	1
432	brands	brands	0.1015	1
433	brans	brans	0.3303	1
434	brash	hell	7.4791	0
435	brass	brass	0.0001	1
436	brat	brat	0.399	1
437	brats	brats	0.2119	1
438	brave	brave	0.0003	1
439	brawl	brawl	0.02	1
440	brawls	brawls	0.0768	1
441	brawn	brawn	0.387	1
442	brawns	brawns	0.1598	1
443	bray	bray	0.0058	1
444	brayed	brayed	0.0852	1
445	brays	brays	0.0386	1
446	braze	wreathe	3.2812	0
447	breach	breach	0.1017	1
448	bread	bread	0	1
449	breads	breads	0.0013	1
450	breadth	breadth	0.001	1
451	breadths	breadths	0.0002	1
452	break	break	0.00669999999999999	1
453	breast	breast	0.001	1
454	breasts	breasts	0.0016	1
455	breath	breath	0.0001	1
456	breathe	breathe	0.0012	1
457	breaths	breaths	0.0307	1
458	breech	breech	0.2427	1
459	breed	breed	0.0005	1
460	breeds	breeds	0.0008	1
461	breeze	breeze	0.0007	1
462	breve	breve	0.0317	1
463	brew	brew	1.1336	1
464	brews	brews	0.0337	1
465	bribe	bribe	0.00380000000000001	1
466	bribed	bribed	0.0963	1
467	bribes	bribes	0.0901	1
468	brick	brick	0.5796	1
469	bricks	bricks	1.354	1
470	bride	bride	0.0001	1
471	brides	brides	0.001	1
472	bridge	bridge	0	1
473	brief	brief	0	1
474	briefs	briefs	0.26	1
475	brig	brig	0.3048	1
476	bright	bright	0.0001	1
477	brigs	brigs	0.6263	1
478	brill	snook	1.4488	0
479	brim	brim	0.0851	1
480	brims	brims	0.0227	1
481	brine	brine	0.283	1
482	bring	bring	0	1
483	brings	brings	0.0001	1
484	brink	brink	0.1857	1
485	brinks	brinks	0.0469	1
486	brisk	brisk	0.0006	1
487	broach	broach	0.0172	1
488	broached	broached	0.0042	1
489	broad	broad	0.0001	1
490	brogue	brogue	0.4236	1
491	broil	broil	0.0001	1
492	broiled	broiled	0	1
493	broils	broils	0.1686	1
494	broke	broke	0.00669999999999999	1
495	bronx	bronx	0.0055	1
496	bronze	bronze	0.0005	1
497	brooch	brooch	0.7317	1
498	brood	brood	0.4519	1
499	broods	broods	0.003	1
500	brook	brook	0.5779	1
501	brooks	brooks	0.3344	1
502	broom	broom	0.0091	1
503	brooms	brooms	0.2528	1
